STREAMER CHANNEL ID,RANK BY VIEWERSHIP,AVG VIEWERS,TIME STREAMED,ALL TIME PEAK VIEWERS,HOURS WATCHED,OVERALL RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS
TOMMYINNIT,#1,"243,667",22,"650,237",5.36M,1,+857K,3.31M,29.7M
AURONPLAY,#2,"154,119",96.4,"313,347",14.9M,2,+799K,7.14M,99.6M
QUACKITYHQ,#3,"111,371",36.9,"232,299",4.11M,10,+557K,2.19M,13.3M
KARLJACOBS,#4,"100,640",24.2,"160,297",2.44M,12,+321K,1.40M,8.90M
BLASTPREMIER,#5,"88,628",55.3,"208,744",4.90M,9,+115K,788K,61.8M
THEGREFG,#6,"83,053",157.3,"2,470,347",13.1M,4,+1.10M,6.52M,106M
RUBIUS,#7,"82,225",105.6,"344,676",8.68M,6,+566K,8.06M,136M
IBAI,#8,"81,406",114.6,"533,239",9.33M,5,+615K,4.90M,138M
XQCOW,#9,"78,791",335.1,"222,720",26.4M,3,+3.06M,7.48M,263M
LEC,#10,"77,124",35.5,"400,312",2.74M,14,+68.9K,1.17M,92.0M
LCK_KOREA,#11,"76,940",64.5,"365,983",4.96M,11,+50.6K,813K,216M
GEORGENOTFOUND,#12,"73,923",18.7,"114,009",1.38M,21,+317K,2.15M,8.12M
WILBURSOOT,#13,"65,363",17.5,"215,211",1.15M,22,+361K,2.06M,9.38M
LCK,#14,"64,950",65.7,"212,049",4.27M,15,+74.1K,1.05M,99.0M
RIOTGAMESBRAZIL,#15,"62,858",37.1,"264,955",2.33M,23,+59.8K,1.15M,188M
LCS,#16,"62,287",65.6,"400,429",4.08M,17,+92.7K,1.35M,114M
WINSTRIKE_TV,#17,"61,037",51.9,"235,473",3.16M,20,+80.3K,337K,22.0M
TUBBO,#18,"56,360",89.3,"198,798",5.03M,18,+591K,2.12M,22.6M
GAMESDONEQUICK,#19,"55,413",248.5,"247,432",13.8M,7,+71.4K,1.82M,348M
SAPNAP,#20,"54,036",13.9,"94,007",750K,36,+184K,1.27M,4.29M
SIGMA,#21,"52,244",49.8,"133,075",2.60M,39,+26.1K,89.8K,2.50M
SHROUD,#22,"50,929",223.4,"516,289",11.4M,13,+257K,8.89M,434M
PESTILY,#23,"50,280",207.8,"226,470",10.4M,16,+112K,806K,40.5M
NICKMERCS,#24,"48,078",123.7,"168,695",5.94M,25,+163K,4.98M,147M
MONTANABLACK88,#25,"47,885",79.9,"181,953",3.83M,30,+154K,3.37M,91.8M
SYKKUNO,#26,"47,393",118.1,"104,187",5.59M,24,+415K,2.61M,33.5M
AUSTINSHOW,#27,"45,802",11.2,"137,926",513K,49,+19.7K,1.22M,35.7M
CRITICALROLE,#28,"42,463",11.2,"110,800",477K,56,+7.6K,656K,18.6M
LOUD_CORINGA,#29,"40,711",92.2,"97,922",3.75M,44,+142K,1.01M,5.63M
PHILZA,#30,"38,460",52,"150,599",2.00M,43,+388K,1.51M,15.7M
RANBOOLIVE,#31,"38,259",117.5,"110,215",4.50M,34,+562K,1.07M,7.16M
ROCKETLEAGUE,#32,"37,878",79.4,"214,930",3.01M,40,+153K,2.43M,181M
POKIMANE,#33,"37,104",91.3,"138,482",3.39M,29,+387K,7.17M,156M
JACKSEPTICEYE,#34,"37,084",107.2,"90,132",3.98M,41,+442K,2.37M,12.9M
MISSASINFONIA,#35,"36,394",37.3,"87,529",1.36M,52,+444K,1.53M,3.85M
JUANSGUARNIZO,#36,"35,038",224.7,"140,500",7.87M,27,+489K,2.94M,43.8M
TRYMACS,#37,"33,951",186,"104,312",6.31M,33,+152K,2.09M,78.1M
ELRAENN,#38,"33,874",81.3,"83,351",2.76M,42,+175K,1.94M,48.0M
ASMONGOLD,#39,"33,280",33.4,"283,753",1.11M,65,+10.8K,1.87M,160M
TIMTHETATMAN,#40,"32,666",113.2,"347,321",3.70M,48,+121K,6.04M,226M
